Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge Personalizada (product.metafields.corneta.custom_tag),Badge personalizada cor (product.metafields.corneta.custom_tag_color),Subtítulo do produto (product.metafields.corneta.product_subtitle),Versões - Produtos (product.metafields.corneta.product_versions),Ocultar produto - Redirecionamento (product.metafields.corneta.redirect_product),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ocultar produto - Busca & SEO (product.metafields.seo.hidden),Grupo de idade (product.metafields.shopify.age-group),Cor (product.metafields.shopify.color-pattern),Tamanho (product.metafields.shopify.size),Tipo de comprimento da manga (product.metafields.shopify.sleeve-length-type),Gênero alvo (product.metafields.shopify.target-gender),Tipo de comprimento do top (product.metafields.shopify.top-length-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
eu-nunca-zoacao-deluxe-1,"Eu Nunca Zoação Deluxe - A versão raiz do Eu Nunca, mais zoeiro e mais risadas","<p><span>Eu Nunca Zoação é o jogo que revela as histórias mais loucas e engraçadas dos seus amigos, garantidos risadas e descobertas surpreendentes.</span></p>
<p>🎉<strong> Diversão Garantida: </strong>Leve o Eu Nunca Zoação para seus rolês e transforme-os em eventos cheios de risadas e momentos divertidos</p>
<p>🤣 <strong>Laços Fortalecidos:</strong> Ria e conecte-se profundamente com amigos e familiares através de histórias e jogos cheios de humor</p>
<p>🤪<strong> Revelações hilárias: </strong>Desvende as confissões mais engraçadas e surpresas entre amigos</p>
<p><strong>Contém 100 novas cartas</strong></p>",Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,L23002,260.0,shopify,continue,manual,59.90,79.90,true,false,,,,,'7898973480188,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/4_f15a39be-78a2-40f2-8a0c-bace5b54ee74.png?v=1756119749,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.08,active
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/10_5fe811cd-8886-4c78-8fed-4b92bc8f833e.png?v=1753703751,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_5d9314f7-9144-4f36-897e-3e81664dad32.png?v=1754922044,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/JHO_9612.jpg?v=1761563722,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_0b92a1c7-3f55-4f23-bf1d-c4854220a9e6.png?v=1761563722,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_ef41bb6f-9e61-4f80-87ce-553a4183496d.webp?v=1754922044,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/4_639d9f89-80df-4970-a042-7e7a53383312.webp?v=1754922044,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu-nunca-zoacao-deluxe-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_69e2f147-e1aa-48c0-8e23-0db97a768d55.webp?v=1754922044,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quebra-cabeca-o-dia-que-nao-acabou-colecao-fio-invisivel,Quebra-cabeça O dia que não acabou - Coleção Fio Invisível,,Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,QC1002,440.0,,deny,manual,149.90,0.00,true,false,,,,,'7898973480324,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1612728a7c7020856fa9b43b2866ffab.png?v=1761228784,1,"",false,,,,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,kg,,,active
quebra-cabeca-a-cidade-das-memorias-colecao-fio-invisivel,Quebra-cabeça A cidade das memórias - Coleção Fio Invisível,,Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,QC1001,450.0,,deny,manual,149.90,0.00,true,false,,,,,'7898973480317,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/398344a81db3dbb72391b78025ebb877.png?v=1761228740,1,"",false,,,,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,kg,,,active
quebra-cabeca-ordem-2147-colecao-fio-invisivel,Quebra-cabeça Ordem 2147 - Coleção Fio Invisível,,Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,QC1003,440.0,,deny,manual,149.90,0.00,true,false,,,,,'7898973480331,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/696a1e9f838873b81e64f2fc12f67a13.png?v=1761228715,1,"",false,,,,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,kg,,,active
farra-pinga-truco-torresmo-churrasco,"Farra, Pinga, Truco, Torresmo, Churrasco","<p data-start=""135"" data-end=""383"">O nome já diz tudo: esse é o jogo perfeito pra animar qualquer resenha, rolê ou churrascão!<br data-start=""226"" data-end=""229"">Com cartas engraçadas e super Brasileiras, <strong data-start=""282"" data-end=""325"">Farra, Pinga, Truco, Torresmo, Churrasco</strong> transforma qualquer encontro em uma festa inesquecível.</p>
<p data-start=""385"" data-end=""632"">👉 Ideal para jogar com os amigos entre uma gelada e uma rodada de truco.<br data-start=""458"" data-end=""461"">👉 Regras simples, diversão imediata: só abrir, embaralhar e cair na farra.<br data-start=""536"" data-end=""539"">👉 Diversão garantida com cartas que misturam humor, memes Brasileiros e muita zoação.</p>
<p data-start=""634"" data-end=""840"">Se você curte risadas sem fim, tretas engraçadas e aquela energia de boteco com churras, esse jogo é a escolha certa. Perfeito para solteiros, universitários e qualquer grupo que não deixa a festa morrer.</p>
<p data-start=""842"" data-end=""947"">⚡ <strong data-start=""844"" data-end=""866"">Idade recomendada:</strong> 14+<br data-start=""870"" data-end=""873"">⚡ <strong data-start=""875"" data-end=""889"">Jogadores:</strong> 3 ou mais<br data-start=""899"" data-end=""902"">⚡ <strong data-start=""904"" data-end=""922"">Tempo de jogo:</strong> até a galera aguentar!</p>
<p data-start=""949"" data-end=""1030"">Chama os amigos, abre a cerveja e prepara a zoeira: <strong data-start=""1001"" data-end=""1025"">a farra vai começar!</strong> 🍻</p>",Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,L100001,210.0,shopify,continue,manual,59.90,,true,false,,,,,'7898973480256,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_8321026b-1f90-41ec-aef6-e9e0abb2a299.png?v=1756119749,1,"",false,,,,,,,,,,,,,,,,"Um jogo de reflexo insano: grita, bate e não vacila!",,,,,,,,,,,,,,,,kg,,9.03,active
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_3.png?v=1755807834,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_5ca83853-fc83-483e-9a44-3cbffc2530cb.png?v=1755810019,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_1_6346cb27-3ac9-40ca-b2f5-fe2033b13f17.png?v=1755810019,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_2_10667099-1b3c-4b28-ad49-14f1b510acfc.png?v=1755810019,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_2-1.png?v=1755810019,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farra-pinga-truco-torresmo-churrasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_2-2.png?v=1755810019,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politicamente-incorreto,Jogo Politicamente Incorreto - 500 cartas de caos e zero filtros,"<p data-start=""221"" data-end=""497"">Prepare-se para rir, se chocar e talvez até repensar suas amizades.<br data-start=""288"" data-end=""291""><strong data-start=""291"" data-end=""318"">Politicamente Incorreto</strong> é o jogo perfeito para quem não tem medo de ultrapassar todos os limites do humor. Aqui, não existe linha tênue: é piada ácida, sarcasmo e zoeira sem filtro do começo ao fim.</p>
<p data-start=""499"" data-end=""716"">Você vai combinar perguntas e respostas absurdas para criar frases totalmente inapropriadas (e hilárias). Quanto mais errada a combinação, mais o grupo ri – e mais você se arrisca a virar o alvo das piadas da noite.</p>
<p data-start=""718"" data-end=""770"">🔥 <strong data-start=""721"" data-end=""768"">Por que você vai amar (ou odiar) esse jogo:</strong></p>
<ul>
<li data-start=""773"" data-end=""809"">Humor ácido, ousado e zero censura</li>
<li data-start=""812"" data-end=""858"">Momentos épicos e piadas internas garantidas</li>
<li data-start=""861"" data-end=""901"">Fácil de aprender, impossível de parar</li>
<li data-start=""904"" data-end=""968"">Perfeito para festas, churrascos e rolês com amigos sem mimimi</li>
</ul>
<p data-start=""970"" data-end=""997"">📦 <strong data-start=""973"" data-end=""995"">Conteúdo da caixa:</strong></p>
<ul>
<li data-start=""1000"" data-end=""1031"">100 cartas pretas (perguntas)</li>
<li data-start=""1000"" data-end=""1031"">400 cartas brancas (respostas)</li>
<li data-start=""1034"" data-end=""1066"">Regras simples e rápidas</li>
</ul>
<p data-start=""1097"" data-end=""1165"">⚠️ <strong data-start=""1100"" data-end=""1110"">Aviso:</strong> Se você se ofende fácil… é melhor nem abrir a caixa.</p>",Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,L90001,1000.0,shopify,continue,manual,189.90,,true,false,,,,,'7898973480249,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_97df3996-67c5-40e7-aeb3-94a90da4f3f8.png?v=1756119749,1,"",false,,,,,,,,,,,,,,NOVO🔥,Preto,"Piadas pesadas, respostas proibidas e gargalhadas obrigatórias",,,,,,,,,,,,,,,,kg,,32.28,active
politicamente-incorreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/45sd.png?v=1755204928,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politicamente-incorreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_2ce59398-612a-442d-9425-f9916c012d33.png?v=1755204928,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politicamente-incorreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_1_1e80ffe8-695c-4890-a097-253479e6ad38.png?v=1755204928,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politicamente-incorreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Artboard_2_29e848cf-a5b3-4f69-ab83-ad3317bcd740.png?v=1755204928,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gosto-e-que-nem,Jogo Gosto é que nem... - Ranking de gostos bizarros e muita zoeira,"<p data-start=""255"" data-end=""543"">Você acha que é normal colocar ketchup na pizza? E dormir ouvindo barulho de ventilador no volume máximo? No <strong data-start=""364"" data-end=""388"">Gosto é que nem...</strong>, as cartas trazem situações absurdas, polêmicas e vergonhosamente reais, e o grupo precisa decidir se isso é aceitável ou simplesmente um surto coletivo.</p>
<p data-start=""724"" data-end=""794"">🃏 100 cartas com dilemas, gostos duvidosos e situações absurdas</p>
<p data-start=""797"" data-end=""867"">😂 Rende risadas, debates acalorados e julgamentos na medida certa</p>
<p data-start=""870"" data-end=""925"">🧠 Testa o senso crítico (ou a falta dele) do grupo</p>
<p data-start=""928"" data-end=""976"">🚫 Não precisa de preparo ou regras difíceis</p>
<p data-start=""979"" data-end=""1040"">🕒 Partidas rápidas e viciantes – impossível jogar só uma</p>
<p data-start=""1043"" data-end=""1096"">👯 Ideal pra festas, encontros e rolês em casa</p>",Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,L80001,300.0,shopify,continue,manual,79.90,109.90,true,false,,,,,'7898973480225,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_3ac26584-534b-4ca9-8806-a6aff04d598c.png?v=1756119749,1,"",false,,,,,,,,,,,,,,NOVO,Primário,Defenda seus gostos estranhos ou perca a treta,,,,,,,,,,,,,,,,kg,,14.88,active
gosto-e-que-nem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/arrows.png?v=1754658911,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gosto-e-que-nem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/3_eb5eb356-d138-4c93-9fe5-db1e08a50d97.png?v=1754658911,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gosto-e-que-nem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/c1.png?v=1754658911,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gosto-e-que-nem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/c2.png?v=1754658911,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
